_id,desc,title
63b3fafcf5e132e88bf28f80,"When opening the product, please go back to the video of the product opening process to be 100% guaranteed to exchange for a new product, more preferential if the shop sends the wrong product to the customer or the product does not fit.
","Men's shirts"
63b51ec8a2e079cc9df8f054,Made in China,"Urban TM2107 men's"
63b51ecaa2e079cc9df8f056,Made in VietNam,"Men's Bomber Jacket"
63b51ecba2e079cc9df8f058,"Apple Watch Series 8 GPS has a 1.9-inch screen with a resolution of 484x396 pixels. The watch face is protected by Ion-XWR strengthened glass, making the Watch 8 crack resistant, IP6X water and dust resistant.

The watch details look stunning combined with the bright Retina Always - On display that makes the overall look outstanding. The Always-On mode also makes it easy to monitor the information on the watch without having to touch the surface or press any buttons.",Apple Watch Series
63b51ecca2e079cc9df8f05a,Made in China,New Balance Cushioning
63b51ecda2e079cc9df8f05c,AirPods Pro features Active Noise Cancellation that immerses listeners in a world of sound. Crosstalk Mode lets you hear the sounds of the world around you. Sweat- and water-resistant AirPods Pro 1 and custom headphone sizes make for all-day comfort.,Apple AirPods Pro
63b573c45e3d3b958dedc8c1,"The screen has rounded corners. When measured in rectangles, the screen size diagonally is 6.69 inches. Actual display area is smaller.
3Battery life varies by usage and configuration; Visit apple.com/batteries for more information.
4A data plan is required. 5G networks are only available in select markets and are offered through select carriers. Speed ​​may vary by location and carrier. For information on 5G network support, please contact your carrier and visit apple.com/iphone/cellular.",Samsung Inverter washing
63b573c55e3d3b958dedc8c3,"The screen has rounded corners. When measured in rectangles, the screen size diagonally is 6.69 inches. Actual display area is smaller.
3Battery life varies by usage and configuration; Visit apple.com/batteries for more information.
4A data plan is required. 5G networks are only available in select markets and are offered through select carriers. Speed ​​may vary by location and carrier. For information on 5G network support, please contact your carrier and visit apple.com/iphone/cellular.",Apple iPhone 14
63b573c65e3d3b958dedc8c5,"Psychological manipulation” is a form of psychological abuse. Just like psychological abuse, psychological manipulation can appear in any environment, from any malicious object. It could be your biological parents, siblings, lover, spouse, boss or colleague…. With the mysterious nature, silently causing harm, manipulation, psychological abuse, and hurt each victim's emotions, self-esteem, and life. People who have experienced psychological abuse are often unable to clearly describe what happened to them.
",Psychological Manipulation
63b573c65e3d3b958dedc8c7,"Psychological manipulation” is a form of psychological abuse. Just like psychological abuse, psychological manipulation can appear in any environment, from any malicious object. It could be your biological parents, siblings, lover, spouse, boss or colleague…. With the mysterious nature, silently causing harm, manipulation, psychological abuse, and hurt each victim's emotions, self-esteem, and life. People who have experienced psychological abuse are often unable to clearly describe what happened to them.
",The calmer the happier
63b573c75e3d3b958dedc8c9,"I lives my life being hurt by the excessive interference of others in the name of worrying for me and unkind words under the guise of advice. I learned to live in harmony with friends, while no one taught me the meaning of true friendship. I've always heard people say to be nice and kind, but never learned to live with insolent and evil people.",Good manners
